Title,Link,Author,Abstract,Item Type,Subjects,OfficalLink,Divisions,year
Generation of Test Data Using Genetic Algorithm and Constraint Solver,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2501/,"Dinh, Ngoc ThiVo, Dinh HieuVu, Thi DaoNguyen, Viet HaDr Vo Dinh Hieu",,Conference or Workshop Item (Paper),Information Technology (IT),http://dx.doi.org/10.1007/978-3-319-56660-3_43,Faculty of Information Technology (FIT),2017
A closed-form of Cooperative Detection Probability using EGC-Based Soft Decision under Suzuki Fading,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2606/,"Dinh, Thi Thai MaiNguyen, Quoc TuanSandrasegaran, KumbesanDr. Thai-Mai Dinh Thi","In cooperative spectrum sensing based on energy detection, several researchers have concluded that Soft Decision has better detection performance than Hard Decision. In this paper, we focus on Equal Gain Combining (EGC)-based soft decision under Suzuki fading which is a composite Rayleighlognormal fading. We use Moment-Generating function (MGF) to approximate Probability Density Function (PDF) of power sum of received signals at Fusion Center. Then we propose a novel method to evaluate cooperative detection performance under the effect of i.i.d Suzuki fading by using Gauss-Hermite approximation and MGF matching. Finally, we compare the results of EGC-based Soft Decision with those of Hard Decision.",Conference or Workshop Item (Paper),"Electronics and Communications > Communications
Electronics and Communications
Electronics and Communications > Electronics and Computer Engineering",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2606/1/A%20closed-form%20of%20Cooperative%20Detection%20Probability%20using%20EGC-based%20Soft%20Decision%20under%20Suzuki%20fading.pdf,Faculty of Electronics and Telecommunications (FET),2017
An IDPSO Algorithm-based Application Mapping Method for Network-on-Chips,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2744/,"Dinh, Van NamNguyen, Kiem HungPham, Minh TrienTran, Xuan TuProf. Xuan-Tu Tran","Application mapping is one of the most challenging issues in designing Network-on-Chips, playing an important role in maximizing the performance of NoC based systems. This paper presents a novel method to map applications onto a targeted NoC architecture using Improved Discrete Particle Swarm Optimization (IDPSO) algorithm. The NOXIM platform has been used to evaluate the efficiency of the proposed method in terms of latency, throughput, and power energy. The obtained results show that the proposed method can help the designers to get better performance for NoC based systems. This information is very useful for designers to decide how they should do in the next steps of designing a real-time system.",Conference or Workshop Item (Paper),"Electronics and Communications
Electronics and Communications > Electronics and Computer Engineering",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2744/1/ICDV_IDPSO_postconf_revision%20ver1.1.pdf,"Faculty of Electronics and Telecommunications (FET)
Key Laboratory for Smart Integrated Systems (SISLAB)",2017
On the possibility of correct concept learning in description logics,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2638/,"Divrood, Ali RezaeiHa, Quang ThuyNguyen, Linh AnhNguyen, Hung SonHà Quang Thụy","It is well known that any Boolean function in classical propositional calculus can be learned correctly if the training information system is good enough. In this paper, we extend that result for description logics. We prove that any concept in any description logic that extends ALCALC with some features amongst I (inverse roles), QkQk (qualified number restrictions with numbers bounded by a constant k), and SelfSelf (local reflexivity of a role) can be learned correctly if the training information system (specified as a finite interpretation) is good enough. That is, there exists a learning algorithm such that, for every concept C of those logics, there exists a training information system such that applying the learning algorithm to it results in a concept equivalent to C. For this result, we introduce universal interpretations and bounded bisimulation in description logics and develop an appropriate learning algorithm. We also generalize common types of queries for description logics, introduce interpretation queries, and present some consequences.",Article,Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2638/1/%5BQG.15.22.7%5D%20Ali%20Rezaei%20Divroodi%2C%20Quang-Thuy%20Ha%2C%20Linh%20Anh%20Nguyen%2C%20Hung%20Son%20Nguyen.%20On%20the%20possibility%20of%20correct%20concept%20learning%20in%20description%20logics.%20Vietnam%20Journal%20of%20Computer%20Science%20%282017%29%201-12%2C%202017.pdf,Faculty of Information Technology (FIT),2017
A Novel and Efficient Ant Colony Optimization Algorithm for Protein 3D Structure Prediction,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2894/,"Do, Duc DongA/Prof. Xuan Hieu Phan","Protein structure prediction (PSP) is considered as one of the most long-standing and challenging problem in bioinformatic. In this paper, we present an efficient ant colony optimization algorithm to predict the protein structure on three-dimensional face-centered cubic lattice coordinates, using hydrophobic-polar (HP) model and MiyazawaJernigan (MJ) model to calculate the free energy. The reinforcement learning information is expressed in the k-order Markov model, the heuristic information is determined based on the increase of the total energy. On a set of benchmark proteins, the results show a remarkable efficiency of our algorithm by comparing with the state-of-the-art algorithms.",Technical Report (Technical Report),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2894/1/TR2017-FIT-002.pdf,Faculty of Information Technology (FIT),2017
Dielectrophoresis enrichment with built-in capacitive sensor microfluidic platform for tumor rare cell detection,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3026/,"Do, Quang LocBui, Thanh TungVu, Quoc TuanPham, Thanh LuanTran, Thi Thuy HaDau, Thanh VanJen, Chun PingChu, Duc TrinhBùi Thanh Tùng","This paper presents a dielectrophoresis (DEP) enrichment microfluidic platform with built-in anti-bodybased capacitive sensor for tumor rare cells detection. We take the advantages of the effective DEP actuation, the high selectivity property of antibody for rare cell immobilization, and the high sensitivity of differential capacitive sensing for quantitatively reading out, to produce advanced platform, toward single tumor cell detection for the rapid laboratory tests of cancers diagnoses and other metabolic diseases applications.",Conference or Workshop Item (Lecture),"Sensors, microsensors, microfabrication, capacitive sensors, Electrodes, microfluidics, Dielectrophoresis, cancer, tumours, Microfluidics, antibody-based differential capacitive sensor, Biological cells, biological techniques, biomedical transducers, Cancer, cancer diagnoses, capacitance measurement, DEP actuation, DEP enrichment microfluidic platform, dielectrophoresis actuation, dielectrophoresis enrichment microfluidic platform, Differential capacitive sensing, electrophoresis, metabolic disease application, rare cell immobilization, tumor rare cell detection, Tumors",http://ieeexplore.ieee.org/document/7994091/,Electronics and Communications > Electronics and Computer Engineering,2017
Circular electrodes stepping manipulation platform for A549 cancer cell detection,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2742/,"Do, Quang LocNguyen, Thu TrangBui, Thanh TungTran, Thi Thuy HaLe, Van ChieuVo, Thi Thuong LanHoang, Thi My NhungJen, Chun-PingChu, Duc TrinhBùi Thanh Tùng","In this paper, a novel design of an impedance sensor integrated on stepping dielectrophoresis manipulation platform for biological cells detection is presented. The platform consists of fluidic working chamber and manipulating/sensing gold electrodes. Gold electrodes are patterned on glass substrate and protected by an insulating layer to avoid the direct contact between metal electrodes and electrolyte. The outer circular electrodes implement hiological cell manipulating function while the inner electrodes construct sensing electrodes pair which are connected to an impedance analyzer to detect the appearanceo of biological cells on the sensing area. Several experiments have been implemented to investigate the performance of trapping A549 cell line based on aptamer immobilization on gold surface, and impedance spectroscopy readout method.",Conference or Workshop Item (Lecture),Electronics and Communications > Electronics and Computer Engineering,,Faculty of Electronics and Telecommunications (FET),2017
Nghiên cứu chế tạo hạt nano COP bằng phương pháp điện hóa siêu âm,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2898/,"Do, Quang NgocHoang, Kim LietHoang, Thi NuNguyen, Duy ThienDo, Thi Huong GiangNguyen, Minh HoangLe, Tuan TuDr Giang Do","Phương pháp điện hóa siêu âm là phương pháp điện hóa kết hợp với sóng siêu âm để chế tạo các hạt nano. Các hạt nano CoP được chế tạo bằng phương pháp điện hóa siêu âm tại nhiệt độ phòng. Cơ chế lắng đọng và thế điện hóa được xác định bằng phương pháp Vol-Ampe vòng. Cấu trúc tinh thể và hình thái học của mẫu được phân tích bằng nhiễu xạ tia X (XRD), hiển vi điện tử quét (SEM). Thành phần của mẫu được xác định bằng phổ tán sắc năng lượng tia X (EDS). Đường cong từ trễ được đo bằng thiết bị từ kế mẫu rung (VSM). Quan sát giả đô nhiễu xạ tia X cho thấy, cấu trú tinh thể của hạt nano CoP là cấu trú lụ giác xếp chặ hcp (100) và hcp (002). Ảnh hiển vi điện tử quét chỉ ra rằng các hạt nano tạo thành có đường kính trong khoảg 100-300 nm. Kết qua đo tính chất từ cho thấy, lực kháng từ của mẫu CoP cỡ 756 Oe. Ảnh hưởng của thế lắng đọng và tần số xung siêu âm lên kích thước hạt cũng đã được nghiên cứu",Conference or Workshop Item (Paper),Engineering Physics,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2898/1/017-20-A-07-P%20Do%20Quang%20Ngoc%20SPMS%202017-Final.pdf,Faculty of Engineering Physics and Nanotechnology (FEPN),2017
Thiết bị đo huyết áp liên tục không xâm nhập ứng dụng trong phẫu thuật dựa trên cảm biến từ - điện độ nhạy cao,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2874/,"Do, Thi Huong GiangDinh Tu Bui",,Conference or Workshop Item (Paper),Engineering Physics,,Faculty of Engineering Physics and Nanotechnology (FEPN),2017
Distance magnetic nanoparticle detection using a magnetoelectric sensor for clinical interventions,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2351/,"Do, Thi Huong GiangNguyen, Huu DucDang, Xuan DangNguyen, Xuan ToanNguyen, Van TuanPhung, Anh TuanDr Giang Do","Distance magnetic nanoparticle detections were investigated by using a magnetoelectric based magnetic sensor with a long type bilayer Metglas/PZT laminate composite. In homogeneous magnetic fields, the sensor exhibits a sensitivity of 307.4 mV/Oe, which is possible for a detection limit of 2.7×10−7 emu. This sensor can detect an amount of 0.31 µg of the superparamagnetic Fe3O4-chitosan fluid at 2 mm height above the sensor surface. To detect a spot with magnetic nanoparticles at a distance of about 7.6 mm, it should contain at least 50 µg of iron oxide. This approach is able to develop for local detection of magnetic nanoparticles at a depth of centimeters in the body during clinical interventions",Article,"Engineering Physics
ISI-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2351/1/D.T.%20Huong%20Giang_Manuscript_RSI%202016_revised%2020.12.2016_abstract.pdf,Faculty of Engineering Physics and Nanotechnology (FEPN),2017
Thiết bị đo huyết áp liên tục không xâm nhập ứng dụng trong phẫu thuật dựa trên cảm biến từ - điện độ nhạy cao,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2900/,"Do, Thi Huong GiangNguyen, Van TuanLe, Khac QuynhNguyen, Xuan ToanVu, Nguyen ThucPhung, Anh TuanNguyen, Ba BienNguyen, Huu DucDr Giang Do","Trong hồi sức bệnh nhân trong và sau phẫu thuật tim, việc theo dõi huyết áp liên tục là một trong các thông số rất quan trọng cần được theo dõi đảm bảo vận chuyển và phân bố khối lượng máu đến các cơ quan trong cơ thể. Một kỹ thuật đo đang được sử dụng trong bệnh viện hiện nay là thông qua đo trực tiếp áp lực máu truyền qua một màng rung. Để có thể sử dụng được phương pháp này, một ống thông (catheter) sẽ được luồn vào bên trong động mạch cổ tay hoặc động mạch phổi ở cổ để truyền máu dẫn đến màng rung và được duy trì trong suốt quá trình đo. Đây là phương pháp xâm lấn, đòi hỏi bác sỹ có trình độ và kinh nghiệm mới có thể sử dụng được kỹ thuật này. Bên cạnh đó, nguy cơ nhiễm trùng cũng rất cao khi thực hiện kỹ thuật này. Trong bài báo này, chúng tôi sử dụng một phương pháp đo hoàn toàn mới, cho phép theo dõi đồng thời huyết áp của bệnh nhân cũng như nhiều thông tin liên quan khác liên tục nhưng không xâm lấn sử dụng thông qua đo từ trường nhờ sử dụng một hệ thống nam châm vĩnh cửu và cảm biến đo từ trường độ nhạy cao dựa trên hiệu ứng từ-điện. Một số kết quả đo đạc đã được thực hiện trên các tình nguyện viên cho thấy triển vọng ứng dụng rất lớn của phương pháp đo này trong lĩnh vực y học sử dụng công nghệ cao hiện nay.",Conference or Workshop Item (Speech),Engineering Physics,,Faculty of Engineering Physics and Nanotechnology (FEPN),2017
Solving the staff rescheduling problem in Lai Chau hydropower station,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2761/,"Do, ThuyPham, Hoang GiangTran, Xuan KhoiHa, Minh HoangDo, BachHà Minh Hoàng","This article studies the complex staff rescheduling problem arising in the context of Lai Chau hydropower station. Currently, rescheduling task is implemented manually by agreement of switching shifts among workers or by a scheduler. It is a complex and time-consuming operation but obtained schedules have been far below the expectation of the staff as they in general violate working rules and contract agreements. In this research, we propose an approach based on Mixed Integer Programming to support the scheduler solving the problem. Our model includes multiple objectives which minimize the number of changed shifts and the number of affected employees. Experimental results show the effectiveness of our method.",Conference or Workshop Item (Paper),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2761/1/08108054.pdf,Faculty of Information Technology (FIT),2017
Thermal buckling of cracked Mindlin FGM plates based on neutral surface and phase-field method,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2837/,"Do, Van ThomDoan, Hong DucBui, Quoc TinhNguyen, Dinh DucProf. Dinh Duc Nguyen",,Conference or Workshop Item (Paper),Engineering Mechanics,,Faculty of Engineering Mechanics and Automation (FEMA),2017
Phase-field thermal buckling analysis for cracked functionally graded composite plates considering neutral surface,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2808/,"Do, Van ThomDoan, Hong DucNguyen, Dinh DucBui, Quoc TinhProf. Dinh Duc Nguyen","In this paper, the variational phase field model is adopted to analyze thermal buckling behavior of cracked functionally graded material (FGM) plates. Unlike existing works, the difference between neutral surface and mid-surface of FGM plates is taken into account in the present study. The kinematics of plate is based on first order shear deformation theory, while the crack is simulated by variational phase-field theory. The critical buckling temperature rises of cracked FGM plate is calculated, and the obtained results are then compared with those derived from extended isogeometric analysis by the authors and other numerical methods. We analyze the thermal buckling of cracked FGM plates for both cases: (a) the mid-surface coincides neutral surface, and (b) they are different between each other, and then showing their influence. We also investigate the effects of boundary condition and material properties on thermal buckling of cracked FGM plate. Through these results, it reveals the necessity to consider the difference between neutral surface and mid-surface in thermal buckling analysis.",Article,"Engineering Mechanics
ISI-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2808/1/1-s2.0-S0263822317323838-main.pdf,Faculty of Engineering Mechanics and Automation (FEMA),2017
Analysis of bi-directional functionally graded plates by FEM and a new third-order shear deformation plate theory,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2822/,"Do, Van ThomNguyen, Dinh KienNguyen, Dinh DucDoan, Hong DucBui, Quoc TinhProf. Dinh Duc Nguyen","only in one specified direction, but also different other directions. In particular, the bi-directional functionally graded materials (2D-FGMs) introduced are expected to have more effective properties, consequently eliminating commonly awkward problems such as local stress concentrations and delamination. In this paper, buckling and bending behaviors of 2D-FGM plates, which are of great importance in the design and development of engineering applications, are numerically analyzed by a finite element model. The plate kinematics are described using a new third-order shear deformation plate theory (TSDT), without the need for special treatment of shear-locking effect and shear correction factors. The present TSDT theory based on rigorous kinematic of displacements, which is shown to be dominated over other preceding theories, is derived from an elasticity formulation, rather by the hypothesis of displacements. The materials are assumed to be graded in two directions and their effective properties are computed through the rule of mixture. The accuracy of the proposed approach assessed on numerical results is confirmed by comparing the obtained results with respect to reference published solutions. The effects of some numerical aspect ratios such as volume fraction, boundary conditions, thickness to length ratio, etc. on static deflections and critical buckling are numerically studied. The investigation of results confirms that such aforementioned aspect ratios have significant effects on the mechanical behaviors of plates.",Article,"Engineering Mechanics
ISI-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2822/1/Thom.pdf,Faculty of Engineering Mechanics and Automation (FEMA),2017
A rate-dependent hybrid phase field model for dynamic crack propagation,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2819/,"Doan, Hong DucBui, Quoc TinhDo, Van ThomNguyen, Dinh DucProf. Dinh Duc Nguyen","Several models of variational phase field for fracture have been introduced and analyzed to different degrees of applications, and the rate-independent phase field approach has been shown to be a versatile one, but it is not able to accurately capture crack velocity and dissipated energy in dynamic crack propagation. In this paper, we introduce a novel rate-dependent regularized phase field approach to study dynamic fracture behaviors of polymethylmethacrylate materials, in which the rate coefficient is estimated through energy balance, i.e., dynamics release energy, cohesive energy and dissipated energy. The mode-I dynamics crack problem is considered, and its accuracy is validated with respect to experimental data [F. Zhou, Ph.D. dissertation (The University of Tokyo, Japan, 1996)] and other numerical methods, taking the same configuration, material property, crack location, and other relevant assumptions. The results shed light on the requirement and need for taking the rate-dependent coefficient in dynamic fracture analysis.",Article,"Engineering Mechanics
ISI-indexed journals",,Faculty of Engineering Mechanics and Automation (FEMA),2017
Numerical validation for free vibration of cracked Mindlin plates using phase-field method,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2836/,"Doan, Hong DucDo, Van ThomBui, Quoc TinhNguyen, Dinh DucProf. Dinh Duc Nguyen",,Conference or Workshop Item (Paper),Engineering Mechanics,,Faculty of Engineering Mechanics and Automation (FEMA),2017
Phase-field based simulation of treansverse cracking in laminated,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2838/,"Doan, Hong DucDo, Van ThomNguyen, Dinh KhoaNguyen, Dinh DucProf. Dinh Duc Nguyen",,Conference or Workshop Item (Paper),Engineering Mechanics,,Faculty of Engineering Mechanics and Automation (FEMA),2017
An Efficient Parallel Method for Performing Concurrent Operations on Social Networks,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2676/,"Du, Phuong HanhPham, Hai DangNguyen, Ngoc HoaAssoc.Prof Hoá NGUYỄN Ngọc","This paper presents our approach to optimize the concurrent operations on a large-scale social network. Here, we focus on the directed, unweighted relationships among members in a social network. It can then be illustrated as a directed, unweighted graph. With such a large-scale dynamic social network, we face the problem of having concurrent operations from adding or removing edges dynamically while one may ask to determine the relationship between two members. To solve this challenge, we propose an efficient parallel method based on (i) utilizing an appropriate data structure, (ii) optimizing the updating actions and (iii) improving the performance of query processing by both reducing the searching space and computing in multi-threaded parallel. Our method was validated by the datasets from SigMod Contest 2016 and SNAP DataSet Collections with the good experimental results compared to other solutions.",Conference or Workshop Item (Paper),Information Technology (IT),,Faculty of Information Technology (FIT),2017
Author Profiling of Vietnamese Forum Posts - An Investigation on Content-based Features,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2762/,"Duong, Duc TranPham, Son BaoTan, HanhPhạm Bảo Sơn","In this paper, we investigate the author profiling task for Vietnamese forum posts to predict demographic attributes, such as gender, age, occupation, and location of the author. Although we conducted the experiments on different types of features, including style-based and content-based features, we focus more on analysis the effects of content-based features. We used machine learning approaches to perform classification tasks on datasets we collected from popular forums in Vietnamese. The results show that these kinds of features work well on such a kind of short and free style messages as forum posts, in which, content-based features achieved much better results than style-based features.",Article,Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2762/1/136-1-624-1-10-20171011.pdf,Faculty of Information Technology (FIT),2017
Cải tiến tính năng multi-homming và congestion control cho giao thức SCTP trong mạng không dây đa bước,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2896/,"Duong, Le MinhTran, Van TruongDương Lê Minh","Hiệu suất của các giao thức tầng giao vận trong mạng không dây đa bước (Multihop Wirless Network - MHWN) dựa trên chuẩn IEEE 802.11 nhận được nhiều sự quan tâm của các nhà nghiên cứu. Rất nhiều công trình nghiên cứu đã chỉ ra rằng các giao thức này có hiệu suất không cao trong MHWN, đặc biệt là TCP. Ra đời sau các giao thức được sử dụng cho mạng có dây như TCP, UDP, giao thức SCTP đã kế thừa được những ưu điểm và khắc phục một số nhược điểm của các giao thức truyền thống trên. Một số tính năng điển hình của SCTP có thể kể đến là multi-homing và congestion control. Đây là các tính năng được trang bị nhằm nâng cao hiệu năng hoạt động của giao thức. Trong bài báo này, chúng tôi tập trung vào đề xuất giải pháp cải tiến cho tính năng multi-homing và congestion control theo cách tiếp cận liên tầng nhằm nâng cao hiệu quả hoạt động của SCTP trong mạng MHWN. Thử nghiệm mô phỏng cho thấy SCTP với tính năng cải tiến hoạt động hiệu quả hơn giao thức nguyên bản.",Technical Report (Technical Report),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2896/1/TR2017-FIT-003.docx,Faculty of Information Technology (FIT),2017
ATTS-DF: Adaptive Tracking Solution to the Target for Data Fusion in Wireless Sensor Networks,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2681/,"Duong, Viet HuyNguyen, Dinh VietViệt Nguyễn Đình","Wireless sensor networks are composed of many sensor nodes limited to residual energy. The sensor nodes are randomly scattered within in the ranger monitoring and sending - receiving data by radio waves. The measured data often contains the same information, and sending to base station causes the waste of energy of sensor nodes and the risk of congestion. According to the statistics, the energy consumed by transceiver radio signals is many times greater than the energy consumes to process other tasks of sensor node including the calculation on the sensor node. In this paper, we propose algorithms installed on the sensor nodes to monitor non-cyclical target fixed, which base on the fluctuation of the target when it exceeds the threshold. Moreover, algorithm control sensor nodes measures just in time fluctuations exceeded targets need to measure. Keywords— adaptive tracking, data fusion, ATTS-DF, WSNs",Conference or Workshop Item (Paper),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2681/1/ICSSE2017_paper.pdf,Faculty of Information Technology (FIT),2017
DF-SWin: Sliding Windows for Multi-Sensor Data Fusion in Wireless Sensor Networks,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2682/,"Duong, Viet HuyNguyen, Dinh VietViệt Nguyễn Đình","Abstract— When using multiple sensor nodes in wireless sensor networks (WSNs) for monitoring (or measuring) parameters of the target and sending the result to the base station (BS), data redundancy is an inevitable problem. The measured data often contains the same information, and sending redundant data to BS causes the waste of energy of sensor nodes and the risk of congestion. Multi-sensor data fusion in WSNs is a technology of gathering and processing data applied from node to BS. It improves the performance of surveillance systems by allowing the obtained sensed information from multiple sensor nodes aggregated to one unified format data packet to send to BS to make decision. In this paper, we propose a solution namely DF-SWin for sampling sensor node in the cluster to optimize the energy conservation of sensor nodes in clusters and cluster head. Keywords— DF-SWin, sliding window, data fusion, WSNs",Conference or Workshop Item (Paper),Information Technology (IT),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2682/1/HuyDV-VietND-Paper-KSE2017-Proceedings.pdf,Faculty of Information Technology (FIT),2017
Flexible Configuration of Wireless Sensor Network for Monitoring of Rainfall-Induced Landslide,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2674/,"Gian, Quoc AnhTran, Duc TanNguyen, Dinh ChinhBui, Tien DieuAssoc/Prof Duc Tan Tran","Establishment of wireless sensor network for Monitoring and Early Warning System (MEWS) of rainfall-induced landslide is still a challenging task due to problems of energy consumption. This research aim is to propose a new flexible system for the configuration of MEWS for rainfall-induced landslides. The proposed system is an integration a star topology and a tree topology, in which, the star topology is automatically used for the sensor nodes around the gateway node, whereas the tree topology is adopted for the other nodes. Consequently, the proposed configuration method is flexible and capable to save the energy consumption in the MEWS. Experiment result showed that the performance of the MEWS with the proposed method Wireless Sensor Network is better than those from the systems only use the tree topology or the star topology. The result of this study is useful for designing WSN for MEWS of rainfall-induced landslides.",Conference or Workshop Item (Lecture),Electronics and Communications > Electronics and Computer Engineering,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2674/1/paper.pdf,Faculty of Electronics and Telecommunications (FET),2017
Design and implementation of site-specific rainfall-induced landslide early warning and monitoring system: a case study at Nam Dan landslide (Vietnam),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2664/,"Gian, Quoc AnhTran, Duc TanNguyen, Dinh ChinhNhu, Viet HaBui, Tien DieuAssoc/Prof Duc Tan Tran","ABSTRACTThis paper proposes and implements an early warning and monitoring system for rainfall-induced landslide (named as EWMRIL) with a case study at the Nam Dan landslide (northern Vietnam). The proposed system consists of six sensor nodes and one rainfall station that are used to sense large amounts of data in real-time such as soil moisture, pore-water pressure (PWP), movement status, and rainfall. In addition, a new flexible configuration for the wireless communication system is proposed that is capable not only to save the energy consuming but also to ensure the reliability of the system. Using wireless communication system, the sensed data were sent to the computer station for analyzing and predicting the instability of the landslide in terms of factor of safety (FoS) using the finite element seepage analysis and the limit equilibrium slope stability analysis methods. These methods are available in the SEEP/W and SLOPE/W modules of the GeoStudio software. Based on the analyzing results, the system proposed three warning levels for the landslide Early, Intermediate, and Imminent. Experiment result in the rainy season from August to September 2016 has proven the validity of the EWMRIL system. The result of this study is useful for landslide risk prevention and management in landslide prone-areas.",Article,"Electronics and Communications > Electronics and Computer Engineering
ISI-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2664/1/Design%20and%20implementation%20of%20site%20specific%20rainfall%20induced%20landslide%20early%20warning%20and%20monitoring%20system%20a%20case%20study%20at%20Nam%20Dan%20landslide%20Vietnam.pdf,Faculty of Electronics and Telecommunications (FET),2017
Semiautomated registration of pre- and intraoperative CT for image-guided percutaneous liver tumor ablation interventions,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2599/,"Gunay, GokhanLuu, Manh HaMoelker, Adriaanvan Walsum, TheoKlein, StefanLưu Mạnh Hà",,Article,"CT, image registration, image-guided interventions, liver tumor ablation",http://dx.doi.org/10.1002/mp.12332,"Electronics and Communications > Electronics and Computer Engineering
ISI-indexed journals",2017
Parameter Sensitivity Analysis in Medical Image Registration Algorithms Using Polynomial Chaos Expansions,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2601/,"Gunay, Gokhanvan der Voort, SebastianLuu, Manh HaMoelker, AdriaanKlein, StefanLưu Mạnh Hà","Medical image registration algorithms typically involve numerous user-defined `tuning' parameters, such as regularization weights, smoothing parameters, etc. Their optimal settings depend on the anatomical regions of interest, image modalities, image acquisition settings, the expected severity of deformations, and the clinical requirements. Within a particular application, the optimal settings could even vary across the image pairs to be registered. It is, therefore, crucial to develop methods that provide insight into the effect of each tuning parameter in interaction with the other tuning parameters and allow a user to efficiently identify optimal parameter settings for a given pair of images. An exhaustive search over all possible parameter settings has obvious disadvantages in terms of computational costs and quickly becomes infeasible in practice when the number of tuning parameters increases, due to the curse of dimensionality. In this study, we propose a method based on Polynomial Chaos Expansions (PCE). PCE is a method for sensitivity analysis that approximates the model of interest (in our case the registration of a given pair of images) by a polynomial expansion which can be evaluated very efficiently. PCE renders this approach feasible for a large number of input parameters, by requiring only a modest number of function evaluations for model construction. Once the PCE has been constructed, the sensitivity of the registration results to changes in the parameters can be quantified, and the user can simulate registration results for any combination of input parameters in real-time. The proposed approach is evaluated on 8 pairs of liver CT scans and the results indicate that PCE is a promising method for parameter sensitivity analysis in medical image registration.",Conference or Workshop Item (Paper),Electronics and Communications > Electronics and Computer Engineering,https://doi.org/10.1007/978-3-319-66182-7_39,Faculty of Electronics and Telecommunications (FET),2017
Xây dựng mạng cảm biến giá rẻ không dây FAirNet giám sát nồng độ bụi PM2.5 sử dụng bộ chuẩn OGC SWE,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/2771/,"Ha, Duc VanNguyen, Thi Nhat ThanhNguyen, Thanh ThuyVu, Duy LienBui, Quang HungDr Thi Nhat Thanh Nguyen",,Conference or Workshop Item (Paper),"Electronics and Communications > Communications
Electronics and Communications
Electronics and Communications > Electronics and Computer Engineering",,"Center of Multidisciplinary Integrated Technologies for Field Monitoring (FIMO)
Faculty of Information Technology (FIT)",2017
NGHIÊN CỨU GEN CÓ VAI TRÒ CHẨN ĐOÁN VI KHUẨN SALMONELLA TYPHIMURIUM,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3036/,"Ha, Thi QuyenHoa, Thi Minh TuHÃ  Thá»� Quyáº¿n","Research and detection of genes having function for diagnose pathogenic bacteria are essential for environmental and safe food surveillance. In this study, we designed specific primers and constructed a thermal cycle to amplify the specific fragment of the invA gene that encodes the protein invasion of Salmonella typhimurium, having function for infection to the host. In addition, the bacterial clones containing invA gene has been cloned. The exact determination of the invA gene in this report was confirmed by nucleotide sequencing and compared to homology sequences in Genbank. The results of this study could be used to develop a Salmonella Diagnostic Kit using PCR. And the clones containing the invA gene would be stored to provide target genes for continuing studies.",Conference or Workshop Item (Paper),Engineering Physics,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/3036/1/Baocaosinhthai_Quyen_897-902.pdf,Faculty of Engineering Physics and Nanotechnology (FEPN),2017
